rating,reviewer_id,date,review_title,review_body
,Terrance,2025-09-27,,"after opening the vacuum sealing there was a hole on the bottom side close to the stitching in the corner. we figured a sheet would cover it . my daughter sleep on this bed and ended up with a horrible rash. doctor said chemical burn. we assumed maybe it was her skin, shes sensitive. so we trade the brand new mattress for her with her brothers used one. neither ended up with the same rash the next morning, except on his face. his eyes were swollen shut.Walmart won't refund it without it being sent back, no problem there is a health hazard for us at this point, but it came vacuumed sealed, how an i suppose to return this mattress with no vehicle ? then they offered to just leave it outside as is and shipping drivers will come for it.I live in a suburb with an HOA and they would never allow me to place a mattress on my porch for 24-48 hours. so I'm just going to end up tossing it. definitely don't get for your younger ones!"
,Javier,2025-12-08,,"Walmart's service was AWFUL. The mattress is extraordinarily uncomfortable, and when I tried to return it, Walmart cancelled the return pickup 5 times. Last time I tried, they told me pick up was never available and , if I wanted a return, I needed to drop off the product myself. Extremely unproffessional behaviour."
,Monica,2025-08-22,,I was excited to guess this matches thinking that it was better than the one that I bought from home plus years ago. I'm actually glad I didn't throw away my home plus mattresses. Because this mattress does not work for me at all. I let my granddaughter because she's a much younger and smaller person than I am and she told me grandma I can feel the springs and the mattress. This is not going to be a good mattress for you. I guess you get what you pay for it was around $100 and I got a less value than a $100 mattress.
,WalmartCustomer,2025-10-05,,"Zinus makes it easy for me and my SHP team to tackle child bedlessness in our region robustly. We would not be making the same impact if it were not for their competitive pricing, which empowers me and my SHP team to solve this problem, regardless of the circumstances."
,Chlorinefree,2025-12-09,,"Had to buy an ""emergency"" twin mattress for a guest that would have ruined the more pricey, Serta medium-firm, I had on the bed (due to being a heavy smoker). So I quickly ordered this budget mattress for under $100.00. I had no intention of saving/keeping this mattress after the guest left, because it would smell of cigarette smoke. That having been said, this mattress is definitely designed for a child. Anyone weighing more than 100 Lbs. will feel the springs and sleep uncomfortably. Unless this is a purchase for a child--spend a bit more and get a better mattress. Thank you for reading my review."
,lady0fdarkness,2025-11-07,,this is the classic bed that I've been looking for forever with more springs for body support rather than a whole bunch of foam and bedding. this is the classic kind that they make back in the '90s.. It's so freaking comfortable and it's supporting my back so good.
,Andrea,2025-10-13,,The bed is very comfortable. My daughter loves it and she sleeps a lot better than she did on her other bed. This product is definitely worth the money and it's a reasonable price. The mattress is very comfortable in my opinion and I would recommend to buy this.L the bed is very comfortable. My daughter loves it and she sleeps a lot better than she did on her other bed. This product is definitely worth the money and it's a reasonable price. The mattress is very comfortable in my opinion and I would recommend to buy it! I'm highly satisfied with my purchase! I'm highly satisfied with my purchase!
,Bill,2025-12-29,,"I always try to write a positive review. The coils/springs were going in different directions and it was damaged. i couldn't sleep on it. very uncomfortable I really like the Zinus brand and have been using only Zinus for all of our mattresses for nearly a decade. Unfortunately, I had to toss it within a couple days. I had to take a huge loss on this one."
,Kristen,2025-09-18,,"Bought this for my son‘s twin bed. We bought him the Batmobile bedframe, so the bed would be on the floor. And now, so is he. The second you put a pound of pressure on this mattress flattened to the ground. You can feel every single spring. Except for the springs, and the outer layer I'm not sure there's any substance to this mattress. DO NOT BUY THIS TO SAVE MONEY."
,Darlene,2025-11-24,,"If I could give it zero I would!! A piece of trash but for some reason my dog likes it to lay on for naps only. Even he knows it's not good for anything more than that.. i have two other Zinus mattresses, king and queen, wonderful! I was using this one for a daybed, can't even sit on it and be comfortable! Put it in my dog's room to lay around on, but he still prefers the other beds to lay on more! Waste of money!"
